,Country,Sector,Gas,2017,2016,2015
0,Afghanistan,Agriculture,All GHG,15.28,15.35,15.15
1,Afghanistan,Building,All GHG,0.13,0.04,0.02
2,Afghanistan,Bunker Fuels,All GHG,0.04,0.04,0.03
3,Afghanistan,Electricity/Heat,All GHG,0.21,0.2,0.17
4,Afghanistan,Energy,All GHG,77.72,75.93,74.74
5,Afghanistan,Fugitive Emissions,All GHG,2.21,2.19,2.18
6,Afghanistan,Industrial Processes,All GHG,0.91,0.76,0.59
7,Afghanistan,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
8,Afghanistan,Manufacturing/Construction,All GHG,3.44,2.95,2.89
9,Afghanistan,Other Fuel Combustion,All GHG,68.18,66.39,64.6
10,Afghanistan,Transportation,All GHG,3.55,4.16,4.88
11,Afghanistan,Waste,All GHG,3.45,3.37,3.28
12,Armenia,Agriculture,All GHG,1.87,2.33,1.78
13,Armenia,Building,All GHG,1.32,1.24,1.15
14,Armenia,Bunker Fuels,All GHG,0.23,0.23,0.17
15,Armenia,Electricity/Heat,All GHG,1.26,1.19,1.29
16,Armenia,Energy,All GHG,6.28,6.03,6.23
17,Armenia,Fugitive Emissions,All GHG,0.9,0.9,0.91
18,Armenia,Industrial Processes,All GHG,0.38,0.4,0.5
19,Armenia,Land-Use Change and Forestry,All GHG,-0.15,-0.15,-0.14
20,Armenia,Manufacturing/Construction,All GHG,0.45,0.4,0.41
21,Armenia,Other Fuel Combustion,All GHG,0.68,0.72,0.83
22,Armenia,Transportation,All GHG,1.67,1.58,1.66
23,Armenia,Waste,All GHG,0.74,0.75,0.75
24,Australia,Agriculture,All GHG,162.4,119.64,153.46
25,Australia,Building,All GHG,14.87,14.83,14.44
26,Australia,Bunker Fuels,All GHG,20.9,19.24,18.24
27,Australia,Electricity/Heat,All GHG,226.19,225.68,219.58
28,Australia,Energy,All GHG,426.4,422.98,413.44
29,Australia,Fugitive Emissions,All GHG,36.53,36.27,35.05
30,Australia,Industrial Processes,All GHG,17.86,18.19,17.92
31,Australia,Land-Use Change and Forestry,All GHG,-65.76,-65.76,-66.99
32,Australia,Manufacturing/Construction,All GHG,37.55,37.5,37.69
33,Australia,Other Fuel Combustion,All GHG,13.59,13.12,12.53
34,Australia,Transportation,All GHG,97.68,95.59,94.15
35,Australia,Waste,All GHG,12.21,12.12,11.54
36,Azerbaijan,Agriculture,All GHG,6.78,6.94,6.89
37,Azerbaijan,Building,All GHG,6.14,6.72,5.99
38,Azerbaijan,Bunker Fuels,All GHG,1.53,1.55,1.91
39,Azerbaijan,Electricity/Heat,All GHG,14.28,14.33,14.42
40,Azerbaijan,Energy,All GHG,68.16,69.51,69.56
41,Azerbaijan,Fugitive Emissions,All GHG,37.0,37.74,38.4
42,Azerbaijan,Industrial Processes,All GHG,1.17,1.15,1.24
43,Azerbaijan,Land-Use Change and Forestry,All GHG,-8.47,-8.47,-8.46
44,Azerbaijan,Manufacturing/Construction,All GHG,1.75,2.79,2.32
45,Azerbaijan,Other Fuel Combustion,All GHG,1.39,1.37,1.45
46,Azerbaijan,Transportation,All GHG,7.6,6.55,6.98
47,Azerbaijan,Waste,All GHG,4.01,3.92,3.82
48,Bangladesh,Agriculture,All GHG,85.79,83.56,85.39
49,Bangladesh,Building,All GHG,9.62,9.04,7.92
50,Bangladesh,Bunker Fuels,All GHG,4.15,4.19,3.98
51,Bangladesh,Electricity/Heat,All GHG,37.05,36.26,33.61
52,Bangladesh,Energy,All GHG,81.81,76.87,74.85
53,Bangladesh,Fugitive Emissions,All GHG,1.41,1.4,1.4
54,Bangladesh,Industrial Processes,All GHG,3.51,3.05,2.59
55,Bangladesh,Land-Use Change and Forestry,All GHG,19.56,19.56,20.28
56,Bangladesh,Manufacturing/Construction,All GHG,17.35,14.76,17.21
57,Bangladesh,Other Fuel Combustion,All GHG,5.44,5.6,5.45
58,Bangladesh,Transportation,All GHG,10.94,9.81,9.26
59,Bangladesh,Waste,All GHG,20.38,20.11,19.84
60,Bhutan,Agriculture,All GHG,0.52,0.52,0.52
61,Bhutan,Building,All GHG,0.05,0.05,0.04
62,Bhutan,Bunker Fuels,All GHG,0.01,0.01,0.01
63,Bhutan,Electricity/Heat,All GHG,0.0,0.0,0.0
64,Bhutan,Energy,All GHG,1.42,1.33,1.12
65,Bhutan,Fugitive Emissions,All GHG,0.0,0.0,0.0
66,Bhutan,Industrial Processes,All GHG,0.39,0.39,0.33
67,Bhutan,Land-Use Change and Forestry,All GHG,-3.78,-3.78,-3.73
68,Bhutan,Manufacturing/Construction,All GHG,0.35,0.29,0.2
69,Bhutan,Other Fuel Combustion,All GHG,0.45,0.45,0.46
70,Bhutan,Transportation,All GHG,0.57,0.54,0.43
71,Bhutan,Waste,All GHG,0.08,0.08,0.07
72,Brunei,Agriculture,All GHG,0.13,0.13,0.13
73,Brunei,Building,All GHG,0.09,0.09,0.09
74,Brunei,Bunker Fuels,All GHG,0.23,0.24,0.26
75,Brunei,Electricity/Heat,All GHG,4.79,4.63,4.08
76,Brunei,Energy,All GHG,15.61,15.53,15.31
77,Brunei,Fugitive Emissions,All GHG,8.85,9.06,9.28
78,Brunei,Industrial Processes,All GHG,0.43,0.35,0.28
79,Brunei,Land-Use Change and Forestry,All GHG,0.46,0.46,0.4
80,Brunei,Manufacturing/Construction,All GHG,0.42,0.32,0.42
81,Brunei,Other Fuel Combustion,All GHG,0.14,0.09,0.09
82,Brunei,Transportation,All GHG,1.33,1.34,1.36
83,Brunei,Waste,All GHG,0.17,0.17,0.16
84,Cambodia,Agriculture,All GHG,21.66,20.98,21.37
85,Cambodia,Building,All GHG,0.56,0.48,0.51
86,Cambodia,Bunker Fuels,All GHG,0.33,0.41,0.28
87,Cambodia,Electricity/Heat,All GHG,4.14,2.99,2.5
88,Cambodia,Energy,All GHG,14.3,12.76,11.42
89,Cambodia,Fugitive Emissions,All GHG,,,
90,Cambodia,Industrial Processes,All GHG,1.32,1.2,1.03
91,Cambodia,Land-Use Change and Forestry,All GHG,29.99,29.99,27.78
92,Cambodia,Manufacturing/Construction,All GHG,0.66,0.67,0.23
93,Cambodia,Other Fuel Combustion,All GHG,3.67,3.62,3.96
94,Cambodia,Transportation,All GHG,5.27,5.01,4.23
95,Cambodia,Waste,All GHG,0.55,0.54,0.53
96,China,Agriculture,All GHG,717.22,730.6,727.46
97,China,Building,All GHG,533.08,525.09,510.54
98,China,Bunker Fuels,All GHG,143.04,137.72,132.16
99,China,Electricity/Heat,All GHG,4904.12,4637.77,4580.61
100,China,Energy,All GHG,10037.65,9849.23,9890.2
101,China,Fugitive Emissions,All GHG,694.79,696.81,698.3
102,China,Industrial Processes,All GHG,1144.49,1122.48,1090.68
103,China,Land-Use Change and Forestry,All GHG,-309.98,-309.98,-309.77
104,China,Manufacturing/Construction,All GHG,2734.18,2846.38,2972.98
105,China,Other Fuel Combustion,All GHG,290.6,299.76,300.62
106,China,Transportation,All GHG,880.9,843.42,827.14
107,China,Waste,All GHG,191.61,185.65,179.68
108,Fiji,Agriculture,All GHG,1.0,0.99,1.0
109,Fiji,Building,All GHG,0.11,0.12,0.08
110,Fiji,Bunker Fuels,All GHG,0.22,0.19,0.2
111,Fiji,Electricity/Heat,All GHG,0.38,0.33,0.32
112,Fiji,Energy,All GHG,2.06,1.98,1.75
113,Fiji,Fugitive Emissions,All GHG,,,
114,Fiji,Industrial Processes,All GHG,0.16,0.16,0.14
115,Fiji,Land-Use Change and Forestry,All GHG,-3.01,-3.01,-2.95
116,Fiji,Manufacturing/Construction,All GHG,0.28,0.28,0.25
117,Fiji,Other Fuel Combustion,All GHG,0.35,0.33,0.33
118,Fiji,Transportation,All GHG,0.94,0.92,0.77
119,Fiji,Waste,All GHG,0.13,0.13,0.13
120,Georgia,Agriculture,All GHG,2.21,2.35,2.33
121,Georgia,Building,All GHG,2.21,1.99,1.81
122,Georgia,Bunker Fuels,All GHG,0.36,0.28,0.25
123,Georgia,Electricity/Heat,All GHG,1.1,1.06,1.26
124,Georgia,Energy,All GHG,9.97,10.02,9.62
125,Georgia,Fugitive Emissions,All GHG,0.93,0.97,1.0
126,Georgia,Industrial Processes,All GHG,1.81,1.81,1.8
127,Georgia,Land-Use Change and Forestry,All GHG,0.02,0.02,0.05
128,Georgia,Manufacturing/Construction,All GHG,1.7,1.54,1.64
129,Georgia,Other Fuel Combustion,All GHG,0.16,0.16,0.13
130,Georgia,Transportation,All GHG,3.87,4.29,3.78
131,Georgia,Waste,All GHG,3.21,3.21,3.21
132,India,Agriculture,All GHG,709.86,704.16,700.1
133,India,Building,All GHG,113.75,111.86,107.82
134,India,Bunker Fuels,All GHG,45.59,43.09,41.48
135,India,Electricity/Heat,All GHG,1157.77,1097.81,1103.23
136,India,Energy,All GHG,2307.82,2187.89,2153.56
137,India,Fugitive Emissions,All GHG,54.94,55.28,55.26
138,India,Industrial Processes,All GHG,130.52,130.61,130.19
139,India,Land-Use Change and Forestry,All GHG,126.43,126.43,124.29
140,India,Manufacturing/Construction,All GHG,558.99,525.1,503.78
141,India,Other Fuel Combustion,All GHG,131.14,128.45,125.72
142,India,Transportation,All GHG,291.23,269.4,257.75
143,India,Waste,All GHG,82.07,80.98,79.89
144,Indonesia,Agriculture,All GHG,195.98,190.22,182.5
145,Indonesia,Building,All GHG,24.97,23.1,24.14
146,Indonesia,Bunker Fuels,All GHG,11.75,10.62,15.09
147,Indonesia,Electricity/Heat,All GHG,218.73,206.45,195.51
148,Indonesia,Energy,All GHG,548.51,511.55,511.21
149,Indonesia,Fugitive Emissions,All GHG,30.94,32.85,33.5
150,Indonesia,Industrial Processes,All GHG,36.19,34.58,30.16
