,country,keyword,topic,subtopic,user,date,text,favorite_count,followers_count,url
0,India,climate,Other Fuel Combustion,Fuel,LicypriyaK,Thu Feb 18 17:45:17 +0000 2021,India is doing great job in Solar Power despite least historical contributions to the global climate crisis. No dou… https://t.co/cPaVAhWc2m,493,126430,https://t.co/cPaVAhWc2m
1,India,climate,Land-Use Change and Forestry,Forest,ANI,Tue Feb 16 08:31:11 +0000 2021,"Delhi: COP26 (26th UN Climate Change Conference) president Alok Sharma met Minister of Environment, Forest &amp; Climat… https://t.co/QKJHrhTL2C",329,5219539,https://t.co/QKJHrhTL2C
2,India,environment,Waste,Waste,Secretary_MoHUA,Sun Feb 14 08:27:35 +0000 2021,"Unity opens the path to the Swachhatam Bharat!

Street vendors at Puri Beach in Odisha took oath to maintain the cl… https://t.co/OtrUEFY9KX",244,31661,https://t.co/OtrUEFY9KX
3,India,environment,Waste,Waste,AashrithaGundu,Fri Feb 12 09:42:39 +0000 2021,Distribution of 400 Ecofemme Reusable #Sanitary Pads to Women in 24th Division. Awareness about sanitary waste and… https://t.co/gO7meXCS6v,239,551,https://t.co/gO7meXCS6v
4,India,environment,Manufacturing/Construction,Chemicals,Pritesh7994,Thu Feb 18 09:03:45 +0000 2021,NOCIL enjoys monopoly business. Only two companies are leaders in world for rubber chemicals. NOCIL (India) and Sun… https://t.co/GqcnrsWOhW,231,849,https://t.co/GqcnrsWOhW
5,Unknow,environment,Waste,Waste,mygovindia,Fri Feb 12 17:02:35 +0000 2021,It is time to come together &amp; protect our environment!  Pledge to properly dispose of your e-waste for a better tom… https://t.co/dCo5vA2o1P,180,2374765,https://t.co/dCo5vA2o1P
6,Unknow,environment,Fugitive Emissions,Mining,sumalathaA,Fri Feb 12 14:20:40 +0000 2021,"Lok Sabha Question Hour, had raised the issue of illegal mining  in over 2,500 acres, including in forest areas, of… https://t.co/9i9A8tYkVD",166,263867,https://t.co/9i9A8tYkVD
7,India,climate,Transportation,Train,RapperPandit,Tue Feb 16 09:29:47 +0000 2021,"In 2002, Godhra, A 32 Year kid,
RAFIQ HUSSAIN BHATUK
Son of a Schoolmaster 
Vegan, Doglover &amp; Climate Activist

Inn… https://t.co/kaOVjmgHKh",151,16309,https://t.co/kaOVjmgHKh
8,India,environment,Agriculture,Fertilizer,baskodigama,Sun Feb 14 14:33:48 +0000 2021,"@rupikaur_ Madam, punjab Haryana farmers use too much chemicals as fertilizer. Even underground water is polluted.… https://t.co/6Gqm8tH8bE",150,2131,https://t.co/6Gqm8tH8bE
9,India,environment,Manufacturing/Construction,Chemicals,baskodigama,Sun Feb 14 14:33:48 +0000 2021,"@rupikaur_ Madam, punjab Haryana farmers use too much chemicals as fertilizer. Even underground water is polluted.… https://t.co/6Gqm8tH8bE",150,2131,https://t.co/6Gqm8tH8bE
10,India,environment,Land-Use Change and Forestry,Forest,thebetterindia,Thu Feb 18 12:30:00 +0000 2021,"“I found solace in my forest and even today when people ask me how I managed to do it, I simply tell them that it w… https://t.co/dHkufZS8jT",145,665821,https://t.co/dHkufZS8jT
11,India,climate,Land-Use Change and Forestry,Forest,ANI,Tue Feb 16 08:37:59 +0000 2021,"Glasgow will host COP26, he (Alok Sharma) is meeting various leaders &amp; discussing with them to arrive at landing zo… https://t.co/mRl6bugViP",114,5219539,https://t.co/mRl6bugViP
12,Unknow,climate,Agriculture,Fertilizer,somnath1978,Sun Feb 14 13:52:37 +0000 2021,"Err, a peasant demand to preserve power/fertilizer subsidh + MSP on wheat/paddy monoculture = climate justice movem… https://t.co/FjOKLlWBj0",91,7132,https://t.co/FjOKLlWBj0
13,India,environment,Land-Use Change and Forestry,Forest,AaravSeth_,Sun Feb 14 09:03:58 +0000 2021,"Planted trees with @awgpofficial near The Ministry of Environment, Forest &amp; Climate Change, remembering our martyed… https://t.co/mXGYzr7zps",88,3431,https://t.co/mXGYzr7zps
14,India,environment,Land-Use Change and Forestry,Deforestation,manilajamwal,Sat Feb 13 07:43:13 +0000 2021,"Shifting of High Court Jammu to Raika forest area will lead to clearance of 813 kannals of forest.
We cannot afford… https://t.co/Msqw8Ja2Nm",86,5135,https://t.co/Msqw8Ja2Nm
15,Unknow,climate,Other Fuel Combustion,Fuel,Reilly2020,Thu Feb 18 23:00:23 +0000 2021,A group of Montana teenage activists are suing the State of Montana to defend their constitutional rights to a clea… https://t.co/msBg2jgTq6,78,2187,https://t.co/msBg2jgTq6
16,Unknow,climate,Electricity/Heat,Gas,Ms_Aflatoon,Wed Feb 17 08:25:00 +0000 2021,The organizations working for Bhopal gas tragedy victims staged a protest today seeking the release of climate acti… https://t.co/sZiGd5NQ8x,78,17898,https://t.co/sZiGd5NQ8x
17,Unknow,environment,Other Fuel Combustion,Fuel,Reilly2020,Thu Feb 18 23:00:23 +0000 2021,A group of Montana teenage activists are suing the State of Montana to defend their constitutional rights to a clea… https://t.co/msBg2jgTq6,78,2187,https://t.co/msBg2jgTq6
18,Unknow,environment,Energy,Energy,Reilly2020,Thu Feb 18 23:00:23 +0000 2021,A group of Montana teenage activists are suing the State of Montana to defend their constitutional rights to a clea… https://t.co/msBg2jgTq6,78,2189,https://t.co/msBg2jgTq6
19,Unknow,climate,Energy,Energy,Reilly2020,Thu Feb 18 23:00:23 +0000 2021,A group of Montana teenage activists are suing the State of Montana to defend their constitutional rights to a clea… https://t.co/msBg2jgTq6,78,2189,https://t.co/msBg2jgTq6
20,Pakistan,climate,Land-Use Change and Forestry,Forest,O_ISF,Fri Feb 12 06:23:44 +0000 2021,Increasing Pakistan's forest cover is essential to save the country from the imminent disaster of climate change… https://t.co/PfkT4yWaPe,77,3069,https://t.co/PfkT4yWaPe
21,India,climate,Energy,Energy,CPR_Climate,Fri Feb 12 08:30:00 +0000 2021,"📢 It's official: on Wed, Feb 17, we are launching a *brand-new* CPR blog, ENVIRONMENTALITY. 🎉🎉🎉 

This blog will ex… https://t.co/JxUmeVq7mk",72,2240,https://t.co/JxUmeVq7mk
22,Unknow,climate,Electricity/Heat,Electricity,Waseem_BLR,Wed Feb 17 14:29:36 +0000 2021,"Start-Up idea :

Building an India where we separate religion from politics. Elections to be fought based on issues… https://t.co/efuIjxAufh",68,4826,https://t.co/efuIjxAufh
23,India,climate,Land-Use Change and Forestry,Forest,savemollemgoa,Sat Feb 13 04:47:20 +0000 2021,"⚔️ FRAGMENTS OF A FOREST⚔️

In this map we see how #AmcheMollem will be cut into 4 pieces by the 3 linear projects,… https://t.co/lVLHA4UJef",65,10303,https://t.co/lVLHA4UJef
24,Unknow,climate,Other Fuel Combustion,Wildfire,ConservationCO,Thu Feb 18 21:36:10 +0000 2021,Today @RepJoeNeguse &amp; lawmakers hosted a wildfire recovery listening session after a historic Colorado wildfire sea… https://t.co/tigojomgZL,60,6750,https://t.co/tigojomgZL
25,India,environment,Energy,Energy,the_hindu,Thu Feb 18 15:50:04 +0000 2021,A deep dive into how elephants and sloth bear — two of the most exploited wild animals — are rescued from Indian st… https://t.co/0qNf8CqqOI,60,6654545,https://t.co/0qNf8CqqOI
26,Unknow,environment,Energy,Energy,arunkjhaies,Tue Feb 16 19:26:19 +0000 2021,"WATER ENERGY &amp; ENVIRONMENT AUDIT'S LEADER NATIONAL PRODUCTIVITY COUNCIL https://t.co/w7dImMbvm8
@RailMinIndia… https://t.co/fU3DT6stPJ",57,2442,https://t.co/w7dImMbvm8
27,India,climate,Other Fuel Combustion,Fuel,KiranKS,Wed Feb 17 17:09:49 +0000 2021,"Punjab farmers: 
a) Many drive fuel-guzzling SUVs 
b) Suck out water table
c) Often grow excess grains which rot.… https://t.co/ZOXR7RJwZr",57,151813,https://t.co/ZOXR7RJwZr
28,India,climate,Manufacturing/Construction,Chemicals,RatanSharda55,Sun Feb 14 16:07:19 +0000 2021,"@TimesNow @thenewshour @DineshVarsh Nobody  is addressing the question of excessive use if pesticides,  chemicals,… https://t.co/LtQauUimgn",56,63245,https://t.co/LtQauUimgn
29,India,climate,Agriculture,Meat,republic,Wed Feb 17 10:24:36 +0000 2021,What is synthetic meat that Bill Gates is vouching for? Will it help fight climate change? https://t.co/NYVh4qzzrx,56,2381610,no url
30,Pakistan,environment,Land-Use Change and Forestry,Forestry,btap2015,Sat Feb 13 15:03:54 +0000 2021,Visit of worthy Secretary Forestry environment and wildlife department Mr Shahidullah Khan to Mohammad Forest Divis… https://t.co/0vNYu08xjq,55,13622,https://t.co/0vNYu08xjq
31,India,environment,Transportation,Transportation,kanchikohli,Sat Feb 13 05:35:32 +0000 2021,45 villages in Sundargarh have blocked transportation of #coal through village road for over 20 days. Roads have… https://t.co/6NMdUHJSIy,54,5295,https://t.co/6NMdUHJSIy
32,India,environment,Electricity/Heat,Coal,kanchikohli,Sat Feb 13 05:35:32 +0000 2021,45 villages in Sundargarh have blocked transportation of #coal through village road for over 20 days. Roads have… https://t.co/6NMdUHJSIy,54,5295,https://t.co/6NMdUHJSIy
33,India,environment,Waste,Waste,stpivjw1,Wed Feb 17 12:42:04 +0000 2021,"#UrbanSwachhBharatMission2.0 with a budgetary allocation of Rs. 1,41,678 crore for next 5 years will help address t… https://t.co/15RCoJRKtk",54,391,https://t.co/15RCoJRKtk
34,India,environment,Agriculture,Agriculture,kanchikohli,Sat Feb 13 05:35:32 +0000 2021,45 villages in Sundargarh have blocked transportation of #coal through village road for over 20 days. Roads have… https://t.co/6NMdUHJSIy,54,5295,https://t.co/6NMdUHJSIy
35,Unknow,environment,Energy,Energy,arunkjhaies,Thu Feb 18 14:25:14 +0000 2021,"WATER, ENERGY &amp; ENVIRONMENT AUDIT'S LEADER NATIONAL PRODUCTIVITY COUNCIL https://t.co/w7dImMbvm8
@RailMinIndia… https://t.co/C8nJJf8PEd",53,2442,https://t.co/w7dImMbvm8
36,India,climate,Agriculture,Rice,chetansharma365,Tue Feb 16 15:03:53 +0000 2021,"@RealCandaceO @GretaThunberg Greta thunberg, the climate activist, is supporting farmers who burn rice stubble caus… https://t.co/wL08UoaiPc",53,880,https://t.co/wL08UoaiPc
37,India,climate,Land-Use Change and Forestry,Forest,LokSabhaSectt,Fri Feb 12 10:31:30 +0000 2021,Live telecast of Lok Sabha begins. House will take up Questions listed on Ministries of AYUSH; Earth Sciences; Envi… https://t.co/XbyE3gjBKr,52,114758,https://t.co/XbyE3gjBKr
38,India,climate,Electricity/Heat,Oil,MoneylifeIndia,Mon Feb 15 04:58:27 +0000 2021,Human memory is short. That alone can explain why many are deliriously happy with his latest slogans and ignore sev… https://t.co/EEwb55rlxX,51,48145,https://t.co/EEwb55rlxX
39,Unknow,climate,Land-Use Change and Forestry,Forest,vmingoa,Mon Feb 15 07:24:47 +0000 2021,"make no mistake: they will be coming for our #SaveMollem kids in Goa next  ---&gt;

https://t.co/LYiPfJNkqa",49,2086,no url
40,India,CO2,Electricity/Heat,Electricity,UNDP_India,Thu Feb 18 06:23:47 +0000 2021,"Turn off your lights💡when leaving the room.

You can save electricity ⚡️ &amp; help reduce CO2 emissions.

Making small… https://t.co/ZUPEyy8QGy",47,84438,https://t.co/ZUPEyy8QGy
41,Unknow,environment,Land-Use Change and Forestry,Forest,thecaravanindia,Wed Feb 17 15:00:01 +0000 2021,"The Miyawaki method, propounded by the Japanese botanist Akira Miyawaki in the 1980s, compresses layers of a forest… https://t.co/4dtWhU8Neh",47,318248,https://t.co/4dtWhU8Neh
42,Unknow,environment,Energy,Energy,arunkjhaies,Sun Feb 14 08:13:16 +0000 2021,"WATER, ENERGY &amp; ENVIRONMENT AUDIT'S LEADER NATIONAL PRODUCTIVITY COUNCIL https://t.co/w7dImMbvm8
@RailMinIndia… https://t.co/eNmyc44MMi",46,2442,https://t.co/w7dImMbvm8
43,India,climate,Waste,Waste,Sydusm,Mon Feb 15 04:01:44 +0000 2021,"@TrulyMonica Climate Activist.

PhD? What a waste.",46,3340,no url
44,Unknow,environment,Electricity/Heat,Oil,indiacharts,Sun Feb 14 04:37:26 +0000 2021,This is why OMCs are not a good investment in a rising oil price environment. Eventually the govt will give in to t… https://t.co/2W0z6KysH4,44,24337,https://t.co/2W0z6KysH4
45,India,climate,Agriculture,Fertilizer,Crypto_Mind1,Sun Feb 14 15:06:48 +0000 2021,@rohini_mohan 21 yr old is child? If you support climate change movement then how can you support those farmers who… https://t.co/3BbxIA9Akw,43,302,https://t.co/3BbxIA9Akw
46,Unknow,climate,Land-Use Change and Forestry,Forest,timesofindia,Tue Feb 16 08:42:39 +0000 2021,"Delhi: COP26 (26th UN Climate Change Conference) president Alok Sharma met Minister of Environment, Forest &amp; Climat… https://t.co/J8nm3TOoPm",39,13414262,https://t.co/J8nm3TOoPm
47,India,environment,Industrial Processes,Industrial,thejendra,Sun Feb 14 09:41:44 +0000 2021,@BefittingFacts Human rights and environment issues are two easy methods that dirty tricks departments of western c… https://t.co/6DeglDZWNp,38,2983,https://t.co/6DeglDZWNp
48,India,environment,Electricity/Heat,Electricity,Aryan_warlord,Mon Feb 15 07:09:16 +0000 2021,Have been part of a High performance glass installation project that reduces air conditioning electricity requireme… https://t.co/8T7xU5uR2S,37,11784,https://t.co/8T7xU5uR2S
49,Unknow,climate,Land-Use Change and Forestry,Forestry,UswaeZainab3,Sun Feb 14 23:29:36 +0000 2021,"Pakistan is doing is best to tackle Climate change effects, Now we have launched urban forestry on the lines of Miy… https://t.co/dK38knkRdC",37,14051,https://t.co/dK38knkRdC
50,India,climate,Energy,Energy,CPR_Climate,Fri Feb 12 05:00:43 +0000 2021,COMING SOON: An exciting new CPR platform dedicated to fresh ideas + topical issues at the intersection of… https://t.co/Pb3sTBd2fW,36,2240,https://t.co/Pb3sTBd2fW
51,Pakistan,climate,Land-Use Change and Forestry,Forest,MoIB_Official,Fri Feb 12 15:36:02 +0000 2021,Increasing Pakistan's forest cover is essential to save the country from the imminent disaster of climate change: P… https://t.co/ggb9LEQ36S,35,619354,https://t.co/ggb9LEQ36S
52,Unknow,climate,Manufacturing/Construction,Manufacturing,CMO_Odisha,Wed Feb 17 16:51:20 +0000 2021,"CM expressed happiness that #Odisha is attracting impressive investment in manufacturing sector, consolidating its… https://t.co/VaxFwKwf19",34,804400,https://t.co/VaxFwKwf19
53,India,environment,Electricity/Heat,Electricity,DRajesh_UG4PH,Thu Feb 18 04:36:29 +0000 2021,"This #turbine can generate 1KW of #power every hour. This is an innovative green solution, which uses the wind from… https://t.co/ChtE3SQU4h",33,82025,https://t.co/ChtE3SQU4h
54,India,environment,Transportation,Transportation,NikhilChelsea12,Thu Feb 18 06:12:51 +0000 2021,"Dhubri &amp; Hatsingimari Ro-Pax Ferry service will provide a required commuting facility which will provide safe, econ… https://t.co/B1VaPcnttx",33,1271,https://t.co/B1VaPcnttx
55,Pakistan,environment,Manufacturing/Construction,Construction,CDAthecapital,Wed Feb 17 14:03:59 +0000 2021,Park is under construction at sector D-12/3 by Environment staff. https://t.co/eK2PMH8NLK,32,4521,no url
56,Unknow,climate,Other Fuel Combustion,Fuel,RichardDaleT,Sun Feb 14 15:35:32 +0000 2021,"I sure feel sorry for all the fossil fuel haters and climate zombies freezing in their cold, dark hovels. Oh wait,… https://t.co/gVdXVixy81",32,4075,https://t.co/gVdXVixy81
57,India,environment,Electricity/Heat,Gas,MECONLimited,Mon Feb 15 05:55:14 +0000 2021,#MECON takes pride in being part of supply of environment-friendly natural gas to Eastern India for Dobhi-Durgapur… https://t.co/jenaKdUWDq,31,5164,https://t.co/jenaKdUWDq
58,India,environment,Agriculture,Rice,swamyknarasimha,Sun Feb 14 17:18:15 +0000 2021,"@samar11 Haw passionate environmentalist?!
Supporting Rice cultivation, depletion of underground water
Massive pest… https://t.co/C6XMUmdAeC",30,261,https://t.co/C6XMUmdAeC
59,India,climate,Waste,Waste,RvUpadhya,Mon Feb 15 08:32:37 +0000 2021,@fayedsouza Students should study &amp; so shouldn't indulge in fake ' climate activities ' ! There r professional clim… https://t.co/ALIEA6GFUw,29,604,https://t.co/ALIEA6GFUw
60,India,environment,Waste,Waste,thebetterindia,Thu Feb 18 14:14:11 +0000 2021,https://t.co/gHFSfdWYJM WATCH: Startup That Pays You For Your Cigarette Butts &amp; Turns Them into Toys https://t.co/imvdNeB5S9,29,665824,no url
61,India,environment,Waste,Waste,RvUpadhya,Mon Feb 15 08:32:37 +0000 2021,@fayedsouza Students should study &amp; so shouldn't indulge in fake ' climate activities ' ! There r professional clim… https://t.co/ALIEA6GFUw,29,604,https://t.co/ALIEA6GFUw
62,India,environment,Manufacturing/Construction,Manufacturing,shivaniazadTOI,Wed Feb 17 04:28:54 +0000 2021,"Finally, some good news from Uttarakhand: Disaster struck state takes major decision to protect its environment by… https://t.co/X6ZUVstCJZ",28,394,https://t.co/X6ZUVstCJZ
63,Unknow,climate,Electricity/Heat,Gas,jdatx,Wed Feb 17 02:53:46 +0000 2021,We have to prepare for the folks that are going to use this cold as a reason to attack renewable energy in TX. But… https://t.co/YqkoNkA47g,28,1336,https://t.co/YqkoNkA47g
64,India,climate,Electricity/Heat,Renewable,Stuti8220,Sun Feb 14 05:50:42 +0000 2021,"@ANI @Maashish81us @GretaThunberg U.N. Deputy Secretary-General Amina Mohammed, addressing the inaugural session of… https://t.co/xFDMI21Otv",27,1503,https://t.co/xFDMI21Otv
